,RANK,MOVIE_NAME,YEAR,RATINGS,REVIEWS,MOVIE_LINKS
194,195, Wild Tales,2014,8.1, 218K,https://www.imdb.com/title/tt3011894/?ref_=chttp_i_195
195,196," Monsters, Inc",2001,8.1, 986K,https://www.imdb.com/title/tt0198781/?ref_=chttp_i_196
196,197, The Deer Hunter,1978,8.1, 364K,https://www.imdb.com/title/tt0077416/?ref_=chttp_i_197
197,198, The General,1926,8.1, 99K,https://www.imdb.com/title/tt0017925/?ref_=chttp_i_198
198,199, On the Waterfront,1954,8.1, 166K,https://www.imdb.com/title/tt0047296/?ref_=chttp_i_199
199,200, Sherlock Jr,1924,8.2, 58K,https://www.imdb.com/title/tt0015324/?ref_=chttp_i_200
200,201, How to Train Your Dragon,2010,8.1, 806K,https://www.imdb.com/title/tt0892769/?ref_=chttp_i_201
201,202, Jaws,1975,8.1, 664K,https://www.imdb.com/title/tt0073195/?ref_=chttp_i_202
202,203, Mary and Max,2009,8.1, 188K,https://www.imdb.com/title/tt0978762/?ref_=chttp_i_203
203,204, The Third Man,1949,8.1, 183K,https://www.imdb.com/title/tt0041959/?ref_=chttp_i_204
204,205, The Wages of Fear,1953,8.1, 67K,https://www.imdb.com/title/tt0046268/?ref_=chttp_i_205
205,206, Ratatouille,2007,8.1, 833K,https://www.imdb.com/title/tt0382932/?ref_=chttp_i_206
206,207, Wild Strawberries,1957,8.1, 116K,https://www.imdb.com/title/tt0050986/?ref_=chttp_i_207
207,208, Mr,1939,8.1, 122K,https://www.imdb.com/title/tt0031679/?ref_=chttp_i_208
208,209, Ford v Ferrari,2019,8.1, 483K,https://www.imdb.com/title/tt1950186/?ref_=chttp_i_209
209,210, Tokyo Story,1953,8.1, 69K,https://www.imdb.com/title/tt0046438/?ref_=chttp_i_210
210,211, The Big Lebowski,1998,8.1, 865K,https://www.imdb.com/title/tt0118715/?ref_=chttp_i_211
211,212, Rocky,1976,8.1, 632K,https://www.imdb.com/title/tt0075148/?ref_=chttp_i_212
212,213, The Seventh Seal,1957,8.1, 200K,https://www.imdb.com/title/tt0050976/?ref_=chttp_i_213
213,214, Room,2015,8.1, 453K,https://www.imdb.com/title/tt3170832/?ref_=chttp_i_214
214,215, Logan,2017,8.1, 838K,https://www.imdb.com/title/tt3315342/?ref_=chttp_i_215
215,216, Spotlight,2015,8.1, 504K,https://www.imdb.com/title/tt1895587/?ref_=chttp_i_216
216,217, Hotel Rwanda,2004,8.1, 374K,https://www.imdb.com/title/tt0395169/?ref_=chttp_i_217
217,218, The Terminator,1984,8.1, 930K,https://www.imdb.com/title/tt0088247/?ref_=chttp_i_218
